N,effect,t_design,power,effect_estimate,prob_effect,sd_effect_estimate
15,1.3,1,1,0.295679773723784,0.9755,0.143590183743469
35,1.3,1,1,0.25673612824614,0.9905,0.103898769224313
50,1.3,1,0,0.0744986792342304,0.8175,0.0839515618929815
65,1.3,1,1,0.159732699048495,0.982,0.0758976588698997
15,1.5,1,0,0.169873784254566,0.8085,0.195507767622947
35,1.5,1,1,0.273657814855424,0.9935,0.108891732358904
50,1.5,1,0,0.154755357018065,0.943,0.098585976361354
65,1.5,1,1,0.26276527951695,0.9995,0.0743078387560082
15,1.3,2,0,0.27107644523008,0.9375,0.179067648962038
35,1.3,2,0,0.18547000287656,0.9675,0.105321181098134
50,1.3,2,1,0.202432376295939,0.988,0.085740822106794
65,1.3,2,0,0.102397740240622,0.9395,0.0671633217665226
15,1.5,2,0,0.252322731535383,0.9675,0.135731401007673
35,1.5,2,1,0.490566734834503,1,0.0987087322275366
50,1.5,2,1,0.372976889888418,1,0.0904336696697209
65,1.5,2,1,0.218757324791853,0.999,0.0751477797889907
15,1.3,3,0,0.0896541255888682,0.688,0.181823952546923
35,1.3,3,1,0.290234707531547,0.999,0.106440985636426
50,1.3,3,0,0.162863173754222,0.9495,0.0989075761123088
65,1.3,3,1,0.285678043716086,1,0.0823388762564496
15,1.5,3,0,0.253117224802212,0.9395,0.17354901297541
35,1.5,3,1,0.317671704544586,0.988,0.138897009144651
50,1.5,3,1,0.47416831781667,1,0.101814466731165
65,1.5,3,1,0.324920969645772,1,0.083400930731784
15,1.3,4,0,0.150214110552244,0.773,0.210683607182441
35,1.3,4,1,0.280764938004677,0.9955,0.105826449474784
50,1.3,4,0,0.0638110990913077,0.7345,0.107563635500108
65,1.3,4,0,0.0891674734838969,0.8555,0.0866023434399983
15,1.5,4,0,-0.00220866011160344,0.5145,0.224291750334373
35,1.5,4,1,0.333412316666358,0.9955,0.122114632028938
50,1.5,4,1,0.283391138409135,1,0.0890697769441993
65,1.5,4,1,0.378338835756268,1,0.086990021653211
50,1,1,0,0.0190583771993586,0.6055,0.0683980740999854
15,1.3,1,0,0.139328207806879,0.8765,0.121146354215212
35,1.3,1,1,0.263473792108396,0.991,0.11176868180068
50,1.3,1,0,0.12063507920573,0.901,0.0956381897608245
65,1.3,1,1,0.196734202952035,0.9995,0.0622214767150125
15,1.5,1,0,0.363418850309425,0.9745,0.184572422578013
35,1.5,1,1,0.493631539248221,1,0.113250596796889
50,1.5,1,1,0.185930246703231,0.9795,0.0902450802320611
65,1.5,1,1,0.203869054269235,0.9945,0.0774899342870289
15,1.3,2,0,0.249608690839713,0.915,0.181617985733737
35,1.3,2,1,0.344732650518478,0.9995,0.113482130782291
50,1.3,2,1,0.204903147409779,0.9855,0.0926546732856336
65,1.3,2,1,0.216423217168218,0.999,0.0694069870702287
15,1.5,2,1,0.641010810888534,0.999,0.181357719888024
35,1.5,2,1,0.213539412347151,0.9805,0.107509040076779
50,1.5,2,1,0.404894141432607,1,0.103510290483647
65,1.5,2,1,0.317853804172783,1,0.0731159968044566
15,1.3,3,0,0.259630171249396,0.91,0.200909948860947
35,1.3,3,1,0.297448973117702,0.999,0.0936826642872653
50,1.3,3,1,0.2314487973108,0.9935,0.0981732424706661
65,1.3,3,1,0.206042643553777,0.9985,0.0767977428768581
15,1.5,3,0,0.0823006185636327,0.663,0.209806051564439
35,1.5,3,0,0.151682331382859,0.9185,0.109099246586507
50,1.5,3,1,0.339512563583872,1,0.0814718592453057
65,1.5,3,1,0.230234347639185,0.998,0.0857524345181482
15,1.3,4,0,0.124806382014325,0.814,0.139741129475074
35,1.3,4,0,0.0979338641703437,0.8185,0.113561750664535
50,1.3,4,0,0.139566985500922,0.941,0.0921449905324722
